taxonomic_name,common_name,cultivation,sunlight,water,preferred_ph_lower,preferred_ph_upper,nutrients,soil,season,temperature_class,temperature_germination,temperature_growing,days_germination,days_harvest,nutritional_info,energy,sensitivities,description,requirements,days_harvest_min,days_harvest_max,days_harvest_avg,days_germ_min,days_germ_max,days_germ_avg,temp_germ_min,temp_germ_max,temp_germ_avg,temp_grow_min,temp_grow_max,temp_grow_avg
coriandrum sativum,coriander,umbelliferae,full sun,medium,6,7,low,"loam, chalk, sand",annual,hardy,NA,NA,NA,NA,NA,NA,NA,"this aromatic herb is used in cooking. the whole plant can be eaten, although the leaves and seeds are most often used; the leaves as a herb, and the seeds as a spice.","keep the soil damp, but not over watered. dry soil will cause the plants to flower prematurely, or bolt.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
anethum graveolens,dill,umbelliferae,full sun,medium,5.5,7,medium,"loam, chalk, sand",annual,hardy,NA,NA,NA,NA,NA,NA,NA,a member of the parsley family. this aromatic herb has feathery green leaves which are best used fresh. the seeds are also used as a spice.,dill does not like to be transplanted. it may require staking to prevent it falling over.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
thymus vulgaris,thyme,miscellaneous,full sun,low,5.5,7,low,"loam, chalk, sand",perennial,hardy,NA,NA,NA,NA,NA,NA,NA,this is a woody stemmed plant with an abundance of small leaves which are used to flavour dishes.,"easy to grow, and suitable for rock gardens. after flowering cut back to retain compactness.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tanacetum parthenium,feverfew,miscellaneous,full sun,low,6,8,low,most soils,perennial,hardy,NA,NA,NA,NA,NA,NA,NA,a flowering plant in the daisy family. it is used for its reported medicinal properties - for the treatment of migraines and other ailments.,"will grow well in most soils, but not in heavy wet soils. self seeds, remove dead flowers to prevent this.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
armoracia rusticana,horseradish,brassica,full sun,medium,5,7.5,medium,"loam, chalk, sand, clay",perennial,very hardy,NA,NA,NA,NA,NA,NA,NA,"a root vegetable and a member of the mustard family. the green leaves can be eaten, but it is mainly grown for its root, which is used for is pungent flavour, especially in stews.","an easy to look after herb that prefers light, fertile and deep soil. can be invasive, so is regularly grown in raised beds.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cymbopogon citratus,lemon grass,miscellaneous,full sun,high,5,8,low,loam,NA,very tender,NA,NA,NA,NA,NA,NA,NA,"a tall perennial grass used in cooking or infusion. the inner soft parts of the stalks can be used either fresh, or dried.",can be grown from stalk bought for cooking by placing in water. it likes a warm sunny spot.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
origanum majorana,marjoram,lamiaceae,full sun,low,6,8,low,"loam, chalk, sand",perennial,hardy,NA,NA,NA,NA,NA,NA,NA,a perennial herb grown for it's aromatic flavours of sweet pine and citrus.,"requires regular watering, however, be careful of overwatering as the roots can easily rot.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mentha spicata,mint,lamiaceae,full sun,low,7,8,low,"chalk, clay, sand, loam",perennial,very hardy,NA,NA,NA,NA,NA,NA,NA,"a versatile herb which can be used in hot drinks, in salads, and as a mint sauce (traditionally served with roast lamb). is also an essential ingredient in the mojito cocktail.","an easy to grow herb that will thrive in rich, moisture retentive, deep soil. mint will spread if not kept in check.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
origanum vulgare,oregano,lamiaceae,full sun,low,6,7,low,"loam, chalk, sand",NA,hardy,NA,NA,NA,NA,NA,NA,NA,a perennial herb grown for it's aromatic flavours of sweet pine and citrus.,"requires regular watering, however, be careful of overwatering as the roots can easily rot.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
petroselinum crispum,parsley,umbelliferae,full sun/partial shade,medium,5,7,medium,loam,biennial,hardy,NA,NA,NA,NA,NA,NA,NA,"extensivly used in cooking, from a garnish to an essential ingredient in some dishes, such as salsa verde.","the seed needs to be soaked in warm water overnight before planting, and can take several weeks to germinate. it can survive cold winters if mulched.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rosmarinus officinalis,rosemary,miscellaneous,full sun,low,5,6,low,"sand, clay, chalk, loam",shrub,hardy,NA,NA,NA,NA,NA,NA,NA,"an evergreen shrub, with fragrant needle shaped leaves used to flavour dishes.","an easy to grow shrub that prefers poor, well drained soil. is best cultivated from semi-hard wood cuttings.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
salvia officinalis,sage,miscellaneous,full sun,low,5.5,6.5,low,"sand, chalk, loam",perennial,hardy,NA,NA,NA,NA,NA,NA,NA,the soft greyish green leaves are traditionally used in stuffing. they also have reported medicinal properties to help with digestive problems.,"an easy herb to grow that does well in most well drained soils. trim back in the autumn to encourage new growth, and stop the stems becoming leggy.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
artemisia dracunculus,tarragon (french),miscellaneous,full sun,low,6.5,7.5,low,"loam, sand",perennial,hardy,NA,NA,NA,NA,NA,NA,NA,tarragon is reported to be one of the top 4 herbs used in french cooking. it has an intense flavour that is a unique blend of sweet aniseed and mild vanilla. it is essential ingredient in béarnaise sauce.,"does not set viable seed, so buying young plants, or taking cuttings is required. trim back in autumn to encourage new growth and stop the stems becoming leggy.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fragaria ananassa,strawberry,miscellaneous,full sun,medium,5.5,6.5,medium,loam,perennial,hardy,NA,NA,NA,NA,NA,NA,NA,"a soft fruit that is cultivated world wide, and appreciated for its characteristic aroma and sweetness. it is eaten fresh, used for making preserves, juices, and many other dishes.","requires fertile, moist but well drained soil. planting through polythene, or applying straw keeps the berries clean. this is an ideal plant to grow in containers as this will allow the berries to mature away from moist soil.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
melissa officinalis,lemon balm,miscellaneous,full sun,medium,6,7.5,low,"chalk, clay, sand, loam",perennial,very hardy,NA,NA,NA,NA,NA,NA,NA,"a member of the mint family, the leaves have a mild lemon sent. it is used to add flavour, or as an infusion in a hot drink.","will grow in any moisture retentive soil, but will need protected from excessive moisture over the winter.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
